gname,alias,ra,dec,glong,glat,plx,e_plx,mux_med,mux_std,muy_med,muy_std,vlsr_med,vlsr_std,x_mode,x_halfhpd,y_mode,y_halfhpd,z_mode,z_halfhpd,R_mode,R_halfhpd,Upec_mode,Upec_halfhpd,Vpec_mode,Vpec_halfhpd,Wpec_mode,Wpec_halfhpd,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.165,0.031,-3.981363720353807,0.3576059256088853,-6.503156839738491,0.7855531296292978,-0.8674237843636716,10.147878013041481,-0.08554617925640137,0.016774579860021996,2.494530196935175,1.1149197274826967,0.0045826392022856755,0.0028093017534172506,2.530579424782899,1.028337666994072,-3.349372184752326,11.314439241930572,-141.2782499137794,27.315390799125964,7.192957725513864,14.82951202695218,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.18100000000000002,0.028999999999999998,-1.3174233292425206,0.43856334609961284,-1.8047224113498523,0.7730895919667551,-10.013854966874801,10.045439565940729,-0.0058617889569275855,0.0009814284854100259,2.9441058620636804,0.8754208491806783,-0.013249324341361526,0.004813869109928823,2.9429466015851715,0.8665500607192445,-8.954665229765077,10.497766157014459,-8.844044958051256,28.10275020805355,13.45608335994659,14.857808478696882,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.125,0.047,-0.7732849375124657,0.2796291290450439,-2.670083601421184,0.3971005451157059,36.991024763898764,10.089712581729657,0.04425942239567948,0.018478937893927554,1.408437248747589,2.8168061458660745,0.005547014047994403,0.0030366151035439437,1.3400225347047308,1.4942981133081188,32.77699787652267,52.04108434521224,-3.997378898363479,198.4712192332264,-14.59882188883364,15.900008651677155,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.7800875530086597,0.40184571639034233,-4.253224895694663,0.3961679356559803,62.04211363668702,4.979068234345823,0.08900336537517661,0.008597311890812025,0.588588467283667,0.7325576195480936,-0.004374987815262231,0.0011198893223709526,0.18698126618682742,0.40540788131689726,51.51585369491718,79.91272565284501,8.024054924729683,61.60875475164474,-48.808541925694314,15.7669515349553,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.09,0.057,-3.869371479015265,0.28013714119982186,-6.228459050312641,0.5572525099578266,1.9264804829682636,5.033901393866136,0.13826446266552408,0.08691429541372153,0.3390383002296318,4.94052986612067,-0.03326343389335046,0.02375775576455144,1.59982545425795,3.0184851523899128,0.8193725906282516,7.1622190415626354,-71.36608017509845,98.94618991384677,11.836251436109308,20.433126164833965,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.19399999999999998,0.161,0.8233174953250071,0.33011678247334353,-3.581169756754446,0.6894738086974793,-16.01481010206557,2.977273731572209,0.06838385408093751,0.0556999712256844,4.7495527654768,2.7897271323178785,-0.009209016310945228,0.011249700429387582,4.909377095946248,2.1234709247702144,-18.602579929718388,9.43248625680424,-22.717240810605574,41.64735765433127,-32.3959784933802,34.98150071108478,0,1
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10099999999999999,0.105,-3.139107897960195,0.8749824792721704,-9.354792686686793,1.2488294313906778,92.98958094532728,4.990972432637935,0.2573061915231514,0.2226323021863295,2.7128885763871367,4.719496596900608,0.005718236159201223,0.005546079746943641,2.539589994461476,2.425491592311802,103.16008434969692,111.52589009601584,-161.75380328244762,202.68458149024536,-43.06321860379876,60.28772419504287,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.303,0.096,-0.4017579430509788,0.4500119079067481,-1.6799473166936982,0.4979115893204149,43.05972086043866,4.947173496618901,0.46802159899757045,0.16479562087894506,5.299714590208374,1.0158761722744494,-0.009274337201833932,0.008992584868439804,5.36291384871829,0.9597437738270469,23.004684879176693,14.310324775691242,-0.8075078785749952,13.967416182027307,2.1090337874456395,8.219607361472669,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19399999999999998,0.023,-0.579329068951824,0.1305940106688527,-2.486398654697688,0.2897981457493581,1.9450416003334388,2.990456781327898,0.844809164343072,0.10214422239539811,3.18507600104886,0.6054262169860309,0.019583653369876195,0.00491969275413285,3.2750638148038855,0.5535909895516058,-36.09716308161322,12.426077476921293,-27.29165309346172,8.879789388843122,-8.93408985312761,5.05647037078225,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34299999999999997,0.035,-1.030897868405796,0.3615900294598786,-2.423944267778676,0.49956902795344543,9.948725900321968,4.978937249403216,0.5126186039321521,0.05416032643414073,5.360062673427034,0.29857162768127576,-0.003532145264160357,0.007551940681830608,5.385326018475716,0.29202964661833963,-5.763322286694034,5.866826397654817,-22.04129637434818,9.851908191464087,5.075170881553181,5.663374120485473,0,0
