gname,alias,ra,dec,glong,glat,plx,e_plx,mux_med,mux_std,muy_med,muy_std,vlsr_med,vlsr_std,x_mode,x_halfhpd,x_hpdlow,x_hpdhigh,y_mode,y_halfhpd,y_hpdlow,y_hpdhigh,z_mode,z_halfhpd,z_hpdlow,z_hpdhigh,R_mode,R_halfhpd,R_hpdlow,R_hpdhigh,Upec_mode,Upec_halfhpd,Upec_hpdlow,Upec_hpdhigh,Vpec_mode,Vpec_halfhpd,Vpec_hpdlow,Vpec_hpdhigh,Wpec_mode,Wpec_halfhpd,Wpec_hpdlow,Wpec_hpdhigh,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.165,0.031,-3.9792599431028695,0.35843811928368585,-6.5102234742517275,0.7904106259291785,-0.9870087108448078,9.920356922521101,-0.08490163816493823,0.01691684166307761,-0.10577101292686575,-0.07193732960071053,2.5459565899900376,1.1204652888004176,1.142757069436243,3.3836876470370782,0.00450180006200334,0.0028116267413466414,0.0017854827017192987,0.0074087361844125815,2.5564496866606654,1.032778520887479,1.211435798993251,3.2769928407682087,-3.2665526039134676,11.235307943594577,-14.217422371720843,8.253193515468311,-140.1865622276249,27.106174552681694,-167.92311293269455,-113.71076382733116,8.5015278194208,15.095673603946022,-8.045652861827726,22.145694346064317,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.18100000000000002,0.028999999999999998,-1.3255861986000979,0.4411884079743655,-1.7937577043329909,0.776158484634162,-10.059184321084782,9.93344812264998,-0.0059362882980851395,0.0009839646372661742,-0.0070769352024319145,-0.005109005927899566,2.872387140814574,0.880424026406736,1.8565132641914168,3.617361317004889,-0.013961287930408212,0.004723912225178886,-0.01821557145483832,-0.008767747004480547,2.875239416246998,0.8712951450105614,1.870149885673017,3.6127401756941397,-8.243965588648521,10.505601798787254,-19.21304981973521,1.7981537778392962,-8.475409671719888,28.353312854397558,-33.54570735350302,23.160918355292097,14.615244053103055,14.906747916250161,-1.7111941408852118,28.10230169161511,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.125,0.047,-0.7688800272699896,0.2801733704535385,-2.6656445263290163,0.40220894399405305,36.786422562229696,9.897110045000616,0.044544214692782885,0.018884297427841003,0.030455929310107856,0.06822452416578986,1.4015735803745812,2.877713657856244,-2.2069879905880114,3.548439325124477,0.005726851130668037,0.0031257709125235775,0.0026010802181444526,0.008852622043191608,1.3095112647415612,1.5194695032237937,0.09393566216252622,3.1328746686101137,32.342619595699404,51.294096640404476,-55.84279778115362,46.74539549965533,-3.4685462139352126,200.12336785861376,-329.08181470996357,71.16492100726396,-14.76754393053028,16.193116019011796,-33.629854897730866,-1.2436228597072727,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.7821781904510825,0.40024461541863954,-4.254992068124944,0.39970035525506603,61.98392583492639,5.028188618997737,0.08859314111533315,0.008541327564996433,0.08181774203423893,0.0989003971642318,0.5892303212420504,0.7283328982157691,-0.24927057838450706,1.207395218047031,-0.004369760127503255,0.0011127754534377187,-0.005250707361474783,-0.0030251564545993453,0.18364319781717464,0.4051892594348251,0.09517392719821721,0.9055524460678674,51.31245628396704,79.80068679695012,-89.53854614645402,70.06282744744621,5.723971982241267,60.21311990862499,-39.68929017106515,80.73694964618483,-49.89626881478357,15.926949792616693,-63.513202988623796,-31.65930340339041,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.09,0.057,-3.870691310784932,0.27761197185894027,-6.243008617531701,0.5585379058907768,2.050009851238996,4.9437969519923195,0.13623551140488424,0.08557918438759723,0.08054762108568221,0.25170598986087667,0.43904525521783455,4.868188725386613,-6.176101146742923,3.560276304030303,-0.03288941358488684,0.023311846584708584,-0.06326545610435558,-0.01664176293493841,1.596368782845431,2.990580844955695,0.14261420543641234,6.123775895347803,1.198645583743751,7.086309278088829,-5.775182594692874,8.397435961484785,-73.07014815643927,101.0417092233564,-171.64742544751869,30.435992999194127,11.501813692359491,20.35598034778944,-7.987954725736785,32.724005969842096,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.19399999999999998,0.161,0.8135885128271945,0.3287294616684109,-3.588029592303089,0.6902846433589059,-15.95989356815155,2.9938000605871204,0.06935168554358659,0.054620188016485126,0.02741118403092836,0.1366515600638986,4.716138347089824,2.70345700975923,1.4037946234208576,6.810708642939318,-0.008624448765941178,0.011317788808134527,-0.019942237574075705,0.0026933400421933484,4.87456199366386,2.084661406237881,2.164502165554614,6.333824978030377,-18.55585182979911,9.47908797246042,-28.46580743737138,-9.507631492450543,-22.689612532058163,41.452652722600305,-61.49635125108824,21.40895419411237,-32.93722464524967,35.1467953466759,-76.76734590110436,-6.473755207752561,0,1
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10099999999999999,0.105,-3.1244822549339544,0.8719413941818962,-9.395167876319675,1.2554149512301906,93.11246999151145,5.014807677193574,0.26209150976301476,0.2088556371240708,0.11758598786095498,0.5352972621090966,2.626900889318378,4.457126315746706,-3.2200820195106346,5.694170611982777,0.0056358349281836195,0.005462531020486161,0.0003065363716117653,0.011231598412584087,2.417873858612504,2.3669479770813373,0.3831291063846878,5.117025060547363,103.08657673172199,112.2807328034717,-96.23056304356834,128.33090256337505,-162.69904736977128,201.48135188420542,-261.93613113363364,141.0265726347772,-42.71660691775833,58.66974788713799,-117.07034681432924,0.26914895994673316,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.303,0.096,-0.41261323367270175,0.4545378631274656,-1.6932243843289747,0.49776530667202795,42.9286135922754,5.030118678936961,0.46234426238532245,0.1710649954625544,0.3385951167315597,0.6807251076566685,5.316561171600675,1.0543242283723195,3.9706153481466515,6.079263804891291,-0.011221074188064672,0.008971397484960189,-0.0189108434608877,-0.0009680484909673215,5.401044083672555,0.9770218344106487,4.123400146366322,6.077443815187619,22.968833437324292,14.8691065661814,6.258789867710931,35.99700300007373,-1.1719296125007759,13.625234652942822,-14.327328587755915,12.92314071812973,2.004118545321063,8.161703361332414,-6.819344548011259,9.50406217465357,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19399999999999998,0.023,-0.5799949934611808,0.1296246149642397,-2.4859952399907006,0.2886426760078747,1.99109486006956,3.001425896133893,0.8360059920160687,0.10093579870416203,0.7522751590001162,0.9541467564084403,3.2345271312698847,0.5970931061825766,2.5492270889467,3.743413301311853,0.020588109287220824,0.004986069232805789,0.014988998755299568,0.024961137220911145,3.3334955955045644,0.5460874176319119,2.7079465412512906,3.8001213765151145,-36.52230399764204,12.205754414133132,-51.01663736442514,-26.605128536158873,-27.28887821007106,8.741752659412157,-34.90266278439776,-17.41915746557345,-8.557591187824418,4.965553528591423,-14.079629163585569,-4.148522106402723,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34299999999999997,0.035,-1.0358055142139673,0.35990608120176554,-2.410457518134719,0.5011150679213356,10.043313997369587,5.0245066143718935,0.5143962011538933,0.05386723460283857,0.4619244907635635,0.5696589599692407,5.359148643490165,0.2966873618352057,5.048333312043759,5.641708035714171,-0.00494052385964075,0.007476491808862652,-0.012670934258238363,0.0022820493594869415,5.385543575419042,0.29106444176640567,5.080906180409643,5.663035063942455,-5.845241407035125,5.921372869988568,-12.369717069337344,-0.5269713293602081,-25.225877210311502,9.750721311805108,-32.9803878598573,-13.478945236247085,5.553049988251356,5.6374036307898,-1.2734934709081678,10.001313790671432,0,0
