gname,alias,ra,dec,glong,glat,plx,e_plx,mux_med,mux_std,muy_med,muy_std,vlsr_med,vlsr_std,dist_mode,dist_halfhpd,dist_hpdlow,dist_hpdhigh,x_mode,x_halfhpd,x_hpdlow,x_hpdhigh,y_mode,y_halfhpd,y_hpdlow,y_hpdhigh,z_mode,z_halfhpd,z_hpdlow,z_hpdhigh,vx_mode,vx_halfhpd,vx_hpdlow,vx_hpdhigh,vy_mode,vy_halfhpd,vy_hpdlow,vy_hpdhigh,vz_mode,vz_halfhpd,vz_hpdlow,vz_hpdhigh,vx_res_mode,vx_res_halfhpd,vx_res_hpdlow,vx_res_hpdhigh,vy_res_mode,vy_res_halfhpd,vy_res_hpdlow,vy_res_hpdhigh,vz_res_mode,vz_res_halfhpd,vz_res_hpdlow,vz_res_hpdhigh,R_mode,R_halfhpd,R_hpdlow,R_hpdhigh,az_mode,az_halfhpd,az_hpdlow,az_hpdhigh,Upec_mode,Upec_halfhpd,Upec_hpdlow,Upec_hpdhigh,Vpec_mode,Vpec_halfhpd,Vpec_hpdlow,Vpec_hpdhigh,Wpec_mode,Wpec_halfhpd,Wpec_hpdlow,Wpec_hpdhigh,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.165,0.031,-3.98584529397815,0.3573616200304695,-6.509415507061183,0.7778500061783178,-0.9715095264400759,10.027503652374522,5.701405405405405,1.1261291291291293,4.775819819819819,7.028078078078078,-0.08584518702274962,0.016956449039571164,-0.10582127767210742,-0.07190837959296509,2.489755822223117,1.1271099911504834,1.131047887685547,3.3852678699865137,0.004499340457758292,0.0027987038456231588,0.0018100831312377157,0.007407490822484033,42.2719290786257,45.71168018738126,-10.881187418329205,80.54217295643332,4.090735396536232,10.171556632783346,-6.957022743940058,13.386090521626635,7.602865270094924,15.07094906500911,-7.468083794914193,22.673814335104026,-140.47351787374566,27.74116592315312,-168.21468379689884,-112.7323519505926,-4.042169695562649,11.195975606388888,-16.69848994626313,5.693461266514646,7.602865270094924,15.07094906500911,-7.468083794914193,22.673814335104026,2.4926687099237848,1.0417702296825386,1.2165001785626748,3.300040637927752,357.2221405081066,5.709098712025394,347.9448551010653,359.3630525251161,-3.758232817075381,11.288231595246863,-14.39207417491663,8.184389015577096,-141.5084197722369,26.928430157338163,-167.9804358591117,-114.12357554443538,7.602865270094924,15.07094906500911,-7.468083794914193,22.673814335104026,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.18100000000000002,0.028999999999999998,-1.3353652990925553,0.4424105889963798,-1.7821419121966378,0.7824311949226931,-9.742120703843714,10.057450404513794,5.255400400400401,0.8777937937937934,4.523212212212212,6.278799799799799,-0.005889248587103036,0.0009845989526746754,-0.007034791599349533,-0.005065593694000182,2.949424601855508,0.8769937934342096,1.8986867550050874,3.6526743418735066,-0.013545719306387993,0.0047455432465646815,-0.018315351604965693,-0.00882426511183633,193.6540780958158,21.30431562914565,169.60081851452233,212.20944977281363,6.923893830278992,10.284039812433491,-0.9685088164722941,19.599570808394688,12.117771826003462,14.794181144007272,-1.0506751263546548,28.53768716165989,-9.41606757131521,28.485466087445985,-33.307103644657005,23.663828530234966,6.3861401931493305,10.278246460169868,-1.5507296602636984,19.005763260076037,12.117771826003462,14.794181144007272,-1.0506751263546548,28.53768716165989,2.9874232075729914,0.869497940344191,1.9080464540422717,3.6470423347306538,359.77951686138624,2.068992368815316,355.82144450365263,359.95942924128326,-6.2543917159575955,10.628352551813329,-19.193255692078168,2.06344941154849,-9.100068139926066,28.402364393425188,-33.28425960363461,23.520469183215766,12.117771826003462,14.794181144007272,-1.0506751263546548,28.53768716165989,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.125,0.047,-0.7695699227684258,0.2814398137250006,-2.6698070012756756,0.4044370174181434,36.93902103799661,9.95698567175802,6.770134134134134,2.859184184184184,4.6608998998999,10.379268268268268,0.04442107938239399,0.018762173949658442,0.030580131386744317,0.0681044792860612,1.3918803160001403,2.8589492169531816,-2.21695722015388,3.5009412137524833,0.005757248126794817,0.003216533157841997,0.0024488140215859072,0.008881880337269901,160.92072126922034,39.449504620953064,113.2969949700518,192.19600421195793,-39.56892551468148,10.160485966312603,-48.25687728297777,-27.935905350352563,-15.44368166401162,16.197040812570407,-33.27528622830931,-0.8812046031684986,-4.416900337191464,186.44825281198138,-43.70421075114467,329.1922948728181,-31.142142373595355,10.722847130919245,-43.638058715139046,-22.192364453300556,-15.44368166401162,16.197040812570407,-33.27528622830931,-0.8812046031684986,1.3494443131910787,1.5260723927159963,0.09513823698615012,3.1472830224181427,2.3915110398571717,89.65651258743414,0.23760082754644143,179.5506260024147,32.89474961719529,51.67613955887565,-56.05598241037754,47.296296707373756,-2.687074838660351,198.79026369581447,-329.0094507547377,68.57107663689123,-15.44368166401162,16.197040812570407,-33.27528622830931,-0.8812046031684986,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.7714712882591617,0.4041661674692744,-4.265014962683906,0.4005594820098969,61.96631902511321,5.006285911578366,7.647342342342343,0.7256396396396396,6.985108108108109,8.436387387387388,0.08974281425961467,0.00851506977880366,0.08197177970420162,0.09900191926180894,0.5352094755695944,0.7264774580333997,-0.2611215841977863,1.191833331869013,-0.004373048577963766,0.0010908358037588443,-0.005245717220970841,-0.0030640456134531525,102.73451198444715,20.80156322686433,79.56728078276296,121.17040723649163,-63.83876789719129,5.284989733833861,-69.29153508289289,-58.72155561522517,-49.37529890597844,15.848422954381867,-63.81781337247159,-32.120967463707856,6.004541879526101,99.39420962750354,-38.929549272148186,159.8588699828589,-50.789623467134064,7.5232976275698356,-57.99434497366674,-42.94774971852707,-49.37529890597844,15.848422954381867,-63.81781337247159,-32.120967463707856,0.19696750515159622,0.40220295166066533,0.09531181407252695,0.8997177173938576,7.740985861052788,86.8575413230844,1.5558099784323316,175.27089262460115,51.224374287157076,80.25960602114174,-90.44845253558702,70.07075950669645,9.931864072865267,61.20652768950329,-40.35884976118521,82.05420561782137,-49.37529890597844,15.848422954381867,-63.81781337247159,-32.120967463707856,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.09,0.057,-3.866953163694964,0.27958026032974365,-6.226300416494608,0.5590763673629938,1.9319956411185295,5.026984044962216,7.759452452452453,4.920915915915916,4.478841841841842,14.320673673673674,0.13649157206766505,0.08657935349595014,0.07877200307036496,0.25193071006226525,0.41337760288865866,4.92999279069636,-6.159946118039819,3.7000394633529012,-0.03314171538985189,0.02345279399904404,-0.06314438879403433,-0.01623880079594625,-21.751770448011712,173.50454970678572,-251.87359426964326,95.13550514392819,-8.751479065200634,6.7666305210299456,-15.697754644311019,-2.1644936022511274,12.753236462878874,20.272406725758117,-8.330066531909551,32.21474691960668,-122.44752949100553,127.08312597326903,-168.51516265631562,85.65108929022244,2.9465113389207644,10.955067678819141,-7.924929869067697,13.985205488570585,12.753236462878874,20.272406725758117,-8.330066531909551,32.21474691960668,1.5977424592328173,3.013366357509554,0.14301387284889489,6.169746587868003,176.11870293409,89.10691776989195,0.5807508108193714,178.79458635060328,1.328368930359261,7.237047904190101,-5.781713221125752,8.69238258725445,-74.50263346047468,99.73109174534146,-170.96385334531314,28.498330145369778,12.753236462878874,20.272406725758117,-8.330066531909551,32.21474691960668,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.19399999999999998,0.161,0.8179855390437744,0.32581486601516074,-3.5923433560254034,0.6836296311242893,-16.042668086011204,3.0438123181671797,3.479916916916917,2.747517517517518,1.3888858858858857,6.883920920920922,0.06964702353278489,0.054993275129564353,0.02779373449612529,0.137780284755254,4.686768823706586,2.7733808454471394,1.2808625222802732,6.827624213174552,-0.009421951183040789,0.011243253742205805,-0.020033561456583332,0.002452946027828279,204.18032639510193,38.91664467696745,156.15553083629106,233.98882019022597,14.278847616118593,3.615322429537958,10.885518669096122,18.116163528172038,-33.103902462947076,35.27465813809448,-77.49448349066154,-6.945167214472576,-22.422437284128762,44.65681788295666,-64.26305944473683,25.050576321176493,18.817102962862602,5.867983443318614,13.813874974348838,25.549841860986067,-33.103902462947076,35.27465813809448,-77.49448349066154,-6.945167214472576,4.855125011356179,2.1384923543298617,2.073008744558106,6.34999345321783,1.633574531089915,88.13994850295664,0.20476077622942238,176.4846577821427,-18.61276013909918,9.64847068117652,-28.84246399384054,-9.5455226314875,-23.125279809411836,40.261844416429454,-60.971413560855524,19.552275272003385,-33.103902462947076,35.27465813809448,-77.49448349066154,-6.945167214472576,0,1
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10099999999999999,0.105,-3.112436858241253,0.8715238162317543,-9.356038589070891,1.2458283734741347,92.94307495078485,5.039639642673297,5.455354354354354,4.560961461461462,2.4943113113113116,11.616234234234234,0.25729896248107836,0.21511628458891163,0.11764231698880065,0.5478748861666239,2.7348323870185496,4.556725786732912,-3.4203260055316633,5.69312556793416,0.005595036979739232,0.0056525468307378895,-5.750985099867156e-05,0.011247583810477108,3.8194177129848867,214.80009114336326,-284.3933628084901,145.2068194782364,-106.37834607380644,12.739316946753561,-121.34884282479368,-95.87020893128656,-41.2228647252457,59.935893863996625,-118.86709086724136,1.004696860751892,-168.71025405308092,108.11921591193914,-264.2574681147944,-48.01903629091612,-87.5070441365822,19.878439269320964,-103.03115861357571,-63.274280074933785,-41.2228647252457,59.935893863996625,-118.86709086724136,1.004696860751892,2.5755238315816293,2.399112403057258,0.38323146327068686,5.181456269385203,6.071672324538017,87.90014825478596,0.9683604138497439,176.76865692342167,103.25371436791816,111.69652330965323,-96.62427471251394,126.76877190679251,-162.72731113639102,205.03615640103126,-262.61672066509857,147.45559213696396,-41.2228647252457,59.935893863996625,-118.86709086724136,1.004696860751892,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.303,0.096,-0.41203043396847017,0.45288623797555794,-1.6915121773601696,0.498646871661444,43.01877202008808,4.9969497980832145,2.9218348348348346,1.0595455455455456,2.103095095095095,4.222186186186186,0.4678711980592417,0.16966599862341178,0.33676565366842354,0.6760976509152471,5.300787834054269,1.0446649605022316,4.018699018892441,6.108028939896904,-0.009909650336693276,0.00900561818327622,-0.019236897740800785,-0.0012256613742483435,230.00626573591947,11.87391678216403,216.37325017121262,240.12108373554068,-44.43030600962251,5.613548184069714,-51.044719373797676,-39.81762300565825,1.6699083354550623,8.096921597726052,-6.651927751096707,9.541915444355396,-3.140571869159089,15.997661337996034,-18.653455590852214,13.341867085139853,-23.536305229891965,13.078820045018944,-34.06730318821891,-7.909663098181021,1.6699083354550623,8.096921597726052,-6.651927751096707,9.541915444355396,5.366958793885794,0.9663825022489889,4.11871472848085,6.0514797329788275,5.872018114602644,4.4285281778109065,2.0283898848044983,10.885446240426312,22.93443790265107,14.594887406495744,6.588164007375838,35.777938820367325,-1.0130828386469375,13.973696383898698,-14.74162665440707,13.205766113390325,1.6699083354550623,8.096921597726052,-6.651927751096707,9.541915444355396,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19399999999999998,0.023,-0.580009692826059,0.1301503121832128,-2.4874343276853508,0.2951369569979819,1.9705639574032552,3.0115816576335837,4.922582582582582,0.610045045045045,4.487837837837838,5.707927927927928,0.822747907087988,0.10195997181492283,0.7500867777486177,0.9540067213784633,3.3077575375328543,0.6038304134648218,2.546107811457909,3.7537686383875526,0.020421873545902434,0.0050105536968612354,0.015210897701166752,0.025232005094889223,188.79164728239112,9.953413960116052,177.5149470732423,197.4217749934744,-10.138890466467842,3.6827153881497834,-14.12167896031872,-6.756248184019153,-9.487575818038334,5.089767385205766,-14.21746066085581,-4.037925890444278,-16.76805189946444,13.539145920910116,-28.418014668619655,-1.3397228267994237,41.69246009987046,12.392057856726623,32.17817871224149,56.962294425694736,-9.487575818038334,5.089767385205766,-14.21746066085581,-4.037925890444278,3.3965193262417,0.5525418230248842,2.703676914925231,3.8087605609749993,13.455193383209254,4.595188509287356,10.391734377017684,19.582111395592396,-36.04445162764638,12.566565506302176,-51.2447284676047,-26.11159745500035,-25.84444590468621,8.896229870413379,-34.87754085002902,-17.085081109202264,-9.487575818038334,5.089767385205766,-14.21746066085581,-4.037925890444278,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34299999999999997,0.035,-1.033660609023741,0.3562689022761473,-2.41936632449445,0.4950600599566832,10.044738420364556,4.9647905383909885,2.8225285285285286,0.2964494494494494,2.594072072072072,3.186970970970971,0.5057718650704582,0.05311670453890244,0.46483789093038663,0.5710713000081915,5.386016324719048,0.29359201211898966,5.035336976910255,5.622521001148234,-0.0062044867082250085,0.0076154437904917705,-0.013038116877639675,0.002192770703343866,211.60892102005354,7.968850669188058,204.11229853866922,220.04999987704534,-13.74307225031762,5.2854201658460145,-19.81736109763319,-9.24652076594116,4.601654889645232,5.612213560450076,-1.2452900364510455,9.979137084449107,-23.610997230021063,9.806911849265724,-32.444704086611566,-12.830880388080118,8.921141499236906,5.983777559482408,2.7621068564223794,14.729661975387195,4.601654889645232,5.612213560450076,-1.2452900364510455,9.979137084449107,5.407707180604815,0.28721633275403446,5.066719753590893,5.641152419098962,5.325010010019021,0.867950322185628,4.643429388916196,6.379330033287452,-6.178520885232494,5.774081160839833,-12.197266502040119,-0.6491041803604531,-24.16045852615997,9.830389485353535,-33.18758661387761,-13.526807643170542,4.601654889645232,5.612213560450076,-1.2452900364510455,9.979137084449107,0,0
