glong,glat,plx_mean,plx_med,plx_sd,plx_hdi_minus1sigma,plx_hdi_plus1sigma,Upec,Vpec
9.214501562373684,-0.20178401986576255,0.24294053,0.23706093,0.033026144,0.20412129,0.26008865,10.217053757246894,-2.2249365575256093
10.322582065798148,-0.15976309095023986,0.36906233,0.36857173,0.03133368,0.33684856,0.39958337,-5.300673457149288,-23.156597138322297
16.863852816256305,-2.158718684011113,0.52175534,0.5185392,0.06298205,0.45208758,0.5775803,-2.0503889287670316,-8.40655077813716
17.02111143842585,-2.4026814379453247,0.5594713,0.5545747,0.080930926,0.4680329,0.62967306,4.9618343357262615,-8.605893276909569
19.00861898230549,-0.02927879524970525,0.23213166,0.22913247,0.022742365,0.20598044,0.24715155,17.22474589268335,-36.21495073138777
19.364794581204375,-0.030218659385238107,0.41918212,0.4164933,0.04495585,0.36801377,0.45752275,2.429086142321721,-14.167512132442312
19.495878629696847,0.11540813737933626,0.12183253,0.12142205,0.00569274,0.115250334,0.12638673,80.9703888926556,18.26221840155833
22.35649810059656,0.06636008021647362,0.19619924,0.1953269,0.011675261,0.18313979,0.20572762,9.026288183484516,-16.034557443104347
25.70947641263878,0.04382484083429205,0.118748546,0.11836389,0.00676256,0.11149493,0.124918014,-2.143312093167464,-17.964253126993015
29.86235404758307,-0.04430388038070352,0.1608195,0.16066352,0.009668841,0.15087481,0.17016143,12.162666058291604,-7.393388997820296
30.788120700992007,0.2035512648483566,0.2090018,0.20842597,0.010807098,0.19692531,0.2182449,-1.155358997054474,-4.007055949538994
32.79690274874211,0.19085880269231165,0.08265803,0.082502075,0.0036144073,0.07876008,0.085861586,11.932740088429956,-6.464948471180151
33.39324682286976,0.009930293754734967,0.15792805,0.15769584,0.007034881,0.15042627,0.16436858,2.129026197503282,0.5320123359586546
36.11515249562877,0.552417516017583,0.25854817,0.25707597,0.020484105,0.23528896,0.27524704,0.006684731412990972,6.414315135072826
38.03751439318483,-0.30030798376774476,0.11046367,0.11015509,0.004661503,0.10524174,0.114320785,2.5356787773007183,-7.7104020605971755
40.62252629485976,-0.1383352018401078,0.09504698,0.09492558,0.003240986,0.091478236,0.09789002,-13.86493298883005,-16.497199215802937
49.41561779563076,0.32574685738368936,0.0917848,0.09166783,0.0037940703,0.08771403,0.09522054,-13.471507906252812,-30.096513799463622
49.48941604341323,-0.368967603608512,0.21114579,0.20903873,0.027787887,0.18072249,0.2348725,4.494218315976296,-6.073336075882764
73.65270776749108,0.19422771072774792,0.095524445,0.095272005,0.005808418,0.08940162,0.10085693,17.627054724506873,-3.256679395411311
74.5695888585289,0.8457682350457756,0.33862883,0.3322444,0.07947292,0.2424601,0.4051059,-3.3977600388177662,-15.610250062928941
98.03586484832445,1.4459922020451168,0.1733375,0.17155242,0.019166425,0.15167634,0.18802328,-13.984743862005566,-26.215098406266918
110.19609843675002,2.4761750374699742,0.21169741,0.20900041,0.027833853,0.1800431,0.2327657,-6.710114112142941,-24.990272506662848
111.23496496800085,-1.2381963239292646,0.30824172,0.30395877,0.0531544,0.24941932,0.35368434,32.82968877820155,1.4263313558980144
136.84514450512646,1.1674146306121307,0.42295372,0.41719908,0.08054061,0.33099627,0.49029127,4.239717829486176,-19.910595171616308
182.67801276550367,-3.265397302996912,0.14579333,0.14506799,0.03845192,0.106581435,0.18375807,11.335013845742806,-1.378988102909858
188.79369548865986,1.0306622558850218,0.6177026,0.6158937,0.07955692,0.53418887,0.6932869,12.186011098895499,-15.38284758191108
0.3152592880390072,-0.20083724333908243,0.34292614,0.3427338,0.040828496,0.30110034,0.38272086,17.23507043223821,-7.895852270620367
5.884193454612775,-0.3923617226509042,0.3402468,0.34019366,0.019558333,0.32014525,0.35917607,-2.5944745406980685,-14.727382038930898
6.795315908924413,-0.2572553029452956,0.2889517,0.28867635,0.019414138,0.26858357,0.3075915,3.0068499905881354,-3.8802527126756843
8.344133233567698,-1.001949271180782,0.6451777,0.64519763,0.039207794,0.6053786,0.6835381,-2.3724512524565604,-10.5628716482355
11.109056798808037,-0.1141616285891001,0.36012253,0.35996625,0.026043413,0.33326933,0.38556528,8.367403443019105,-8.61439536707698
11.497391078678321,-1.4853403015859088,0.7984359,0.79826987,0.03294452,0.76598006,0.8318646,-0.9394485404823216,8.250878382012587
11.917706166890026,-0.6131241747829906,0.30301985,0.30035707,0.034245525,0.264288,0.33193266,3.3879153481717266,7.052033732463201
12.813647319205213,-0.197000256792044,0.339117,0.33810556,0.030996922,0.30598703,0.36812916,1.3068396079320095,11.895506468190746
12.888828423096749,0.4891010634666449,0.39228156,0.39158455,0.042235274,0.3495178,0.4344563,13.643058164474168,-6.208375380747668
12.900918412281614,-0.2414988120833986,0.40201038,0.40195483,0.024729017,0.37651712,0.42582354,15.75051248026559,-7.60697379521838
12.908573475865381,-0.260515343411919,0.37993,0.37966162,0.031588785,0.34821722,0.41146192,15.32364299540934,-8.068256752060961
13.712772905190688,-0.08357249590896319,0.26463833,0.26447123,0.012539899,0.25194484,0.2770123,4.882122520011243,-6.91955214360442
13.873851346076345,0.28123456627745236,0.25424004,0.25373194,0.021045651,0.23226982,0.27445856,7.646552065625167,-9.521217948155083
14.331809220605823,-0.6449915014717299,0.85982484,0.85979235,0.10060363,0.75772506,0.9591526,10.649035426887199,1.4922862099454335
14.636659788569817,-0.5759736776586776,0.54624045,0.5461987,0.021733548,0.52450925,0.56792074,2.118991977486972,-4.449846863373153
15.034454144972516,-0.6771653895354851,0.49927008,0.4991712,0.025065033,0.4729789,0.52327067,0.2999652397577342,2.5240654204224597
