gname,alias,ra,dec,glong,glat,plx,plx_std,mux,e_mux,muy,e_muy,vlsr,e_vlsr,x,x_std,y,y_std,z,z_std,R,R_std,Upec,Upec_std,Vpec,Vpec_std,Wpec,Wpec_std,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.16523110047728318,0.031095638947651542,-3.98,0.36,-6.5,0.79,-1.0,10.0,-0.09474085143312165,0.020163045114605867,1.8893480970452863,1.3390861511197931,0.004749312637660668,0.00017749699876859213,2.091849712726423,0.9981658722949657,-4.840447811861851,6.794006811725901,-123.15880222479214,35.135485069814465,7.287243083900455,0.16852983962017096,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.1808112992601618,0.029271137313351073,-1.33,0.44,-1.8,0.78,-10.0,10.0,-0.006371767052933724,0.001132135858683945,2.492251773478163,1.0108413796868043,-0.012664138620077635,0.0032422100562402296,2.5326524590193507,0.9048936955589905,-8.44184884400566,6.603593647472807,2.320257851105277,45.93705315125102,13.507297626130367,0.9532079769532062,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.1254780475331482,0.04706145736023835,-0.77,0.28,-2.67,0.4,37.0,10.0,0.04606459994535229,0.9472191512892663,1.1594819462345594,144.389821309923,0.005699319862320779,0.002385196517569192,7.6311056373338335,144.19580600390205,-6.899497337012662,41.26858800568365,-45.8529998053223,1837.8903248925094,-16.22990258737269,499.8415828653145,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.1291212726066032,0.012052832379239396,-0.78,0.4,-4.26,0.4,62.0,5.0,0.09170236684483617,0.008831072256240552,0.3676758789904789,0.752469428368933,-0.003973070535648309,0.0009202948308703775,0.7026856676622867,0.4648827346820183,4.671165875797345,60.77076477327632,-15.581411939969458,77.80039975723888,-49.03383432642567,5.493848541371453,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.0900524208898662,0.05677765904886227,-3.87,0.28,-6.23,0.56,2.0,5.0,0.20905313056053315,3.194344809344104,-3.6995958091646926,181.54177413632726,-0.05162432829885976,0.874136483693781,26.38983282400428,179.68006854186706,3.323478828061494,6.86152850032113,752.3087092624296,6240.141395694113,14.095065903272596,91.32067286787779,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.19476845227857026,0.16116831570802054,0.82,0.33,-3.59,0.69,-16.0,3.0,0.1660550095013455,9.423725461673948,-0.11328262281977707,470.7262662905199,-0.018078705437293112,1.3428349660886012,26.97056608889905,470.0475011628637,-15.930708319508877,25.283514761110876,218.6841984680415,5908.187792470287,-92.26731751506027,5698.938551460478,1,0
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10073462986239047,0.10429202904800737,-3.13,0.87,-9.36,1.24,93.0,5.0,1.9837885666810384,110.03592474661808,-33.832998477433385,2330.434349635997,0.006674214188208206,0.06050900214782442,79.73474137818208,2331.9140509286785,32.629754968643525,87.22851867129815,3448.5401167643445,106635.85019759276,-407.9779012844666,23077.707436362303,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.3031656601821764,0.09578837975024443,-0.41,0.45,-1.69,0.5,43.0,5.0,0.5796174108053057,2.061058895364674,4.608448974881538,12.704905392743074,-0.009504105112511993,0.053649321475257666,5.014986496041938,12.731309969921645,7.941464964913674,37.467950671880295,0.4696015204107607,108.1787526639966,-0.04522413794600172,28.432993664125682,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19398886776135485,0.022735965479005835,-0.58,0.13,-2.49,0.29,2.0,3.0,0.8738919067744902,0.10691144047095276,3.0261618795209784,0.6306842718922263,0.020081681089625714,0.00177372073838139,3.1665310522960373,0.5510141446029455,-44.249472205534644,15.780564006722384,-21.5786034477586,5.561610714255983,-9.552031432650399,2.1531721891813524,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34292470502800715,0.03523771327667245,-1.03,0.36,-2.42,0.5,10.0,5.0,0.5282376372554043,0.056147349256315454,5.281170044011521,0.3082667430413794,-0.004526045632928842,0.0010745435197487463,5.308264749466654,0.3004967461411732,-7.057591037513172,2.5100427655832465,-18.66897778992565,2.20289355347739,4.283565298216812,0.40431156718670314,0,0
