gname,alias,ra,dec,glong,glat,plx,plx_std,mux,e_mux,muy,e_muy,vlsr,e_vlsr,x,x_std,y,y_std,z,z_std,R,R_std,Upec,Upec_std,Vpec,Vpec_std,Wpec,Wpec_std,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.16453495577823882,0.0309297820938757,-3.98,0.36,-6.5,0.79,-1.0,10.0,-0.08814508635779857,0.01563734844235706,2.3273919350767986,1.0385215437635686,0.004807375717855051,0.00013765690655557252,2.3777674447550203,0.9216920732544538,-3.6658386047889007,5.275939481153122,-131.15170266195375,23.319275438095094,7.342372813760082,0.13070247128327556,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.18146806853347316,0.028611798239952777,-1.33,0.44,-1.8,0.78,-10.0,10.0,-0.006006913068065287,0.0009102838659275969,2.8180161264219654,0.812758108386865,-0.011619269976684466,0.0026068704400675886,2.823327951435352,0.7941327482153069,-9.201468861058093,2.872893681302751,0.23050121566377188,25.504503677823084,13.200106818479416,0.7664184785231064,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.12545660462868702,0.04719332128104138,-0.77,0.28,-2.67,0.4,37.0,10.0,0.04437322394889403,0.01455792575952827,1.4173076854673399,2.219144636381552,0.005695060801330324,3.665837391209426e-05,2.0515185983097997,1.651307466664177,13.221635949371638,38.26006635393397,-36.66658026544273,110.49046841464305,-15.337374122191445,7.6821257730845165,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.1288813415318573,0.01215547785925787,-0.78,0.4,-4.26,0.4,62.0,5.0,0.0902766081524672,0.008414502539782385,0.48916054100087547,0.7169747605274872,-0.003824490803019787,0.0008768836860365594,0.7332767065027036,0.4731350585602068,11.459301782584705,59.00768689132979,-9.47910747940771,69.65035495996584,-48.14686362964753,5.234698705118453,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.09029888775589355,0.056742195719777504,-3.87,0.28,-6.23,0.56,2.0,5.0,0.11178350270083728,0.08062454099817123,1.8284551262180802,4.582073346909684,-0.025006372022268013,0.022063007275046433,2.749576761622621,4.09847139859307,6.256816531353415,7.100440940816168,-66.06351897885665,121.24381839416914,11.314299143287219,2.3049131427763805,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.1931307939275064,0.1630241159524266,0.82,0.33,-3.59,0.69,-16.0,3.0,0.041069787328221426,0.04456811636255358,6.129877496214197,2.226230284006973,-0.00026892020309802567,0.006350739446701943,6.1302102455984455,2.2261389860496097,-17.524385138064435,1.0741202942407917,-7.873593884905393,28.30295434333799,-16.683292502645337,26.952287345117202,1,0
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10075415437763843,0.10417265429424215,-3.13,0.87,-9.36,1.24,93.0,5.0,0.13545914440628168,0.18595579218398187,5.312493188408301,3.9383298374346536,0.00565781368773667,0.00010225750776004365,5.3201739949485845,3.934679553055836,98.94403869432051,5.95377238206415,-83.0502544715549,166.27206036889518,-20.32990585478653,39.00029356776747,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.3024373091244836,0.09537967665425647,-0.41,0.45,-1.69,0.5,43.0,5.0,0.4729973229746384,0.12878234012671885,5.265683046116008,0.793847983308857,-0.006728786376782493,0.0033522017159882548,5.291678578500369,0.7720503502153051,22.158225144419436,10.1379329433429,3.5737439995833475,3.506102796160777,1.4256354714401083,1.7765952584418467,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19394705732607795,0.022936713667218844,-0.58,0.13,-2.49,0.29,2.0,3.0,0.8494174048229517,0.09891726051530468,3.1705400992440596,0.5835255810870695,0.019675635380375523,0.0016410928109002424,3.294211290143205,0.5218171639901452,-40.953689934829235,13.480413784341883,-21.872897090502388,3.166605529345072,-9.05912050830058,1.9921712160395695,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34312299320663747,0.035264299061576417,-1.03,0.36,-2.42,0.5,10.0,5.0,0.5168113732807497,0.052375250222228185,5.343903854730184,0.2875567237961386,-0.004307370698643791,0.0010023533874163075,5.369453532553021,0.28071908047354727,-6.556121923048362,2.2608391523985722,-18.216089796619052,2.156089305708563,4.365844706877657,0.3771490511951998,0,0
