gname,alias,ra,dec,glong,glat,plx,e_plx,mux,mux_std,muy,muy_std,vlsr,vlsr_std,x,x_std,y,y_std,z,z_std,R,R_std,Upec,Upec_std,Vpec,Vpec_std,Wpec,Wpec_std,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.165,0.031,-3.977666216164367,0.36039454032715523,-6.48031943592436,0.7962335664258432,-0.9676383881823771,9.887134680096548,-0.09470223403022447,0.020233006898952,1.8919127904791253,1.3437325155946547,0.0047496525899384835,0.00017811287829866057,2.0980736913718654,0.9962006592632691,-4.651117837318474,12.600662954793275,-123.13584347876133,40.673757489965205,7.5579145956497555,15.850289970601844,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.18100000000000002,0.028999999999999998,-1.3244408072695704,0.43728321846192325,-1.800014804876944,0.7776268623603001,-10.060166040622061,10.028605888031217,-0.0063561456369634175,0.0011132701066364592,2.5061995462219953,0.9939968617058291,-0.012619402017519593,0.0031881823257892154,2.541442073769793,0.9000998567907631,-8.60757263207604,11.330455295824473,2.8400248755232966,47.98341291256161,13.385633496998064,15.163141349330088,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.125,0.047,-0.7690332436965542,0.2791701913243231,-2.673506984657051,0.39704422164113384,37.107456506094785,9.810116565453379,0.061378194126298385,0.03394744926013141,-1.1748533809069122,5.174796271725015,0.005737881088054156,8.54832143600714e-05,3.082180694328264,4.32017115401961,-6.888042932318225,42.72593269064369,-100.36379268106569,147.60359490122036,-24.441347261913847,24.119888200536913,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.778145875279019,0.39800179396030927,-4.260729530882109,0.4013362333469595,62.045337759636205,4.9579449066985655,0.09181686403048603,0.008833077817010026,0.357919913991436,0.7526403162432456,-0.003985002401343149,0.0009205038323546354,0.6985967881718222,0.46372944461883986,3.8206821213860334,61.51575877715536,-16.68652779368856,79.42362775353891,-49.16802337539904,15.775023184858352,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.09,0.057,-3.870604734182068,0.2793018910366275,-6.2226112651289105,0.558556767119159,2.0600342249198147,4.979526415617077,0.22623746832605166,0.14430669409443592,-4.676220234988767,8.201272820961163,-0.056326843990031704,0.0394897087440868,5.788849973721642,7.462515351122078,3.6571941838318707,9.246068995342014,42.22203295811319,248.86333213855238,14.608362645634624,27.16910628370464,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.19399999999999998,0.161,0.817644779867965,0.3321445472181023,-3.576724710798336,0.6826900814074318,-16.01199609810278,3.0064492283231083,0.13533979895993334,0.13245985286374845,1.4209785815510756,6.616526789275593,-0.01370193757902612,0.01887488369135896,4.8986116606335,4.673015424170693,-18.09115138827796,20.39831248748007,-58.29378589394102,105.06901342505539,-73.49037410009852,82.12395951234397,1,0
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10099999999999999,0.105,-3.1305115135519035,0.8775796877838887,-9.33698110468681,1.2464935311059078,92.9889376128882,5.043912236263615,0.49729414311499914,0.39503086834675255,-2.350755989830645,8.3662995233754,0.0058567875661717445,0.00021722836170361912,5.42069004438849,6.822059200340237,31.79240551060265,90.72817403031694,68.40972283848433,363.93320030631537,-95.9509217495441,104.97176036906714,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.303,0.096,-0.4133182941588772,0.4503213006524748,-1.6895806073279553,0.4997835662009219,43.03042731297974,4.980425779239812,0.6057891620515958,0.3315484908505663,4.4471194639712355,2.043751500181118,-0.010185355269574705,0.008630200529583293,4.751130394504146,1.3628853973785642,7.92530535162174,38.3063223534297,-2.388116377737269,46.63284641256485,-0.3445473472452163,10.61110378518724,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19399999999999998,0.023,-0.5807545844548933,0.12931606255913417,-2.488081582211875,0.28921456237315385,2.0527955153105917,3.0060198744511655,0.8762715270509037,0.10911634550736374,3.0121241949214546,0.6436912889275829,0.020121160324169385,0.001810301349137503,3.154853578894239,0.5602568185999067,-44.591036382555394,16.634912245170725,-21.52621434425768,8.613549680413705,-9.569887974202162,5.089727193058937,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34299999999999997,0.035,-1.026849947679848,0.35804052007658405,-2.417658596114288,0.5075197000968735,9.942574707255176,4.982896542294866,0.5280719244107454,0.05629134265339163,5.282079860050591,0.30905731242932244,-0.004522874233642371,0.001077299253968869,5.309157281518455,0.30126683027886914,-7.122137016119496,5.678432462944533,-18.62564681911897,6.95126753895477,4.264443116192661,5.575834263593675,0,0
G010.47+00.02,,272.1592875,-19.863961666666672,10.472275231547773,0.02718692730081781,0.11699999999999999,0.008,-3.8616040337297877,0.18928469895626476,-6.3960080681080695,0.13973894399645964,68.96122822982161,5.00814654191755,1.5602543046404276,0.10684779834682563,-0.2598151114149754,0.5780603823761022,0.004161150068464474,9.739194164566592e-05,1.6706434905109964,0.23752467780456846,21.93243092431633,21.713805055284713,-25.31555467045192,9.407203415980108,19.1758655594477,7.3442518701517026,1,0
G010.62-00.33,,272.57493708333334,-19.90129055555556,10.628762401846712,-0.33293427419314275,0.36200000000000004,0.076,-0.36195365148022074,0.3887253661373227,-1.8551831954520155,0.3765621921553549,-5.924184716149412,4.973346384544516,0.5368612604172472,0.13486056086781384,5.320639943153669,0.7186187983919334,-0.01319121826397369,0.0047162005165587275,5.3559011791887166,0.6680960444904929,-26.700485434842594,11.625389366011222,-11.64988680801654,8.726074548627981,0.20220599107390452,5.903662668434537,0,1
G010.62-00.38,,272.61901166666667,-19.930204999999997,10.623443843526003,-0.3831828909830312,0.20199999999999999,0.019,-0.36923674149400293,0.4976871572451002,-0.5991769161619285,0.25186040881587735,-2.9781579941715672,5.046835216853681,0.9218243956641763,0.0880090472354207,3.2668135346319307,0.4692051310542971,-0.031055236927728862,0.0034979817085516282,3.4019246008962916,0.4202843605412452,-65.62359183481594,15.728622346779511,10.802289350888982,7.842478014260161,8.99832995102623,10.755290521726893,1,0
G012.02-00.03,,273.00766666666664,-18.532166666666665,12.0253782206583,-0.031360968405016364,0.106,0.008,-4.110121803911631,0.10940781891656172,-7.763328482645455,0.27968312164034953,107.898430602321,5.001414904518036,1.9747334025443561,0.15006679519953786,-1.0888263817420887,0.7044735627527468,-0.005595245326833142,0.0008494980292828378,2.319787536029271,0.4717030125240145,19.505323499987817,30.36173436892919,41.392194728130704,13.262937596779983,2.089131455858903,7.429882484867793,1,0
G015.66-00.49,,275.2489458333333,-15.552722222222224,15.665337907741975,-0.4989202772567488,0.22,0.028999999999999998,-1.1622436301613548,0.23824242981095203,-5.294661081754573,0.30054720670209867,-4.064375453504218,5.071575657712908,1.2486569946292045,0.17549049325075947,3.7288376640642316,0.6257728999475969,-0.037511695746200675,0.006056720440150964,3.953371629429973,0.506572808517045,-19.979582545390596,6.702690995407949,-83.44345241700988,9.101683062625048,-23.977107779887753,7.2393639338544835,1,0
G016.86-02.15,,277.3517020833333,-15.267816944444444,16.863852816256305,-2.158718684011113,0.426,0.092,0.3184219276446304,0.4930886346753979,-2.4820047257141202,0.572147364949539,17.018250823856796,3.0220056614443718,0.718540278940387,0.18623535883005474,5.81110869041482,0.614335766873608,-0.08927515704167491,0.0245859610757187,5.863866711754107,0.5589665235013712,-8.970227399835462,11.22648279089292,-6.207800794610302,8.227681981921501,-8.872410371278763,7.714036394788248,0,0
G017.02-02.40,,277.65122124999994,-15.241217777777774,17.021111438425848,-2.4026814379453247,0.531,0.10800000000000001,0.09960556929626183,0.6134463283470054,-2.7969277088705833,0.7562250566661163,22.000576972222472,2.992968167893766,0.5755783469948674,0.13649720114737438,6.301310641758276,0.44585026990570814,-0.07810372487935728,0.01984620870217782,6.330478731560904,0.42456944757783366,3.0292791597292275,6.616213248735259,-3.8142056906541373,7.666840457423725,-5.160762884302237,7.062117132016626,0,0
G019.00-00.02,,276.4365741666667,-12.379412777777777,19.00861898230549,-0.02927879524970525,0.247,0.063,-1.7687376671537285,0.28727067719154786,-4.0017536332806465,0.42446318855876397,55.984324162716625,4.972435907508769,1.4319182308905753,0.4921028135314941,4.024804294927132,1.4284710843259836,0.0007435914272467431,0.0016632557371322563,4.450632593789073,0.8508841080688402,11.73516718178354,27.667375683769997,-30.176505558811385,16.138649238170466,1.6494374304697514,7.453902587968119,0,1
G019.36-00.03,,276.607415,-12.06479638888889,19.36479458120437,-0.030218659385238107,0.35200000000000004,0.069,-1.1262015306614825,0.37987797118625627,-2.4947494916549453,0.4543649525195457,27.004094312761964,3.0157455021010033,0.9807553735311966,0.2272019592526432,5.390887049796815,0.6464419309762158,0.002285725713621786,0.0007639222813294543,5.49466393464981,0.5492908446792983,-5.523576918946973,12.254955295234991,-12.586076399146068,8.397900583598137,5.691300072230782,5.773045242122386,0,0
G019.49+00.11,,276.53820458333337,-11.880931666666665,19.495878629696847,0.11540813737933625,0.326,0.1,-3.5983798883520373,0.42882205502445053,-8.183334975626305,1.0296465967380084,121.12489885340179,5.020537281628504,1.1574181004879578,0.5885198587227446,4.9121593442293,1.6623126423527257,0.010534560690566616,0.0025175871027062,5.243820413904108,1.0396694158220112,118.47013458084628,20.245247434555942,-37.283889777255176,40.66896520426935,-2.29717648671866,12.794053979400624,0,1
