gname,alias,ra,dec,glong,glat,plx,e_plx,mux,mux_std,muy,muy_std,vlsr,vlsr_std,x,x_std,y,y_std,z,z_std,R,R_std,Upec,Upec_std,Vpec,Vpec_std,Wpec,Wpec_std,is_tooclose,is_outlier
G359.13+00.03,,265.85671208333326,-29.654875277777787,359.13734970150324,0.03164965568619413,0.165,0.031,-3.9810073339703895,0.36054192652739525,-6.496730115243613,0.7900880641728848,-0.9895681943707453,9.971227752113105,-0.09160586253186315,0.020289349440011272,2.0975517784698665,1.3474743867268437,0.004776910211240626,0.00017860886647327276,2.1395485739573923,1.0100063636498504,-4.0476686462086295,12.715453836532895,-136.7636141321408,42.269702455946955,7.4157576371623435,15.870261248125683,1,0
G359.93-00.14,,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.18100000000000002,0.028999999999999998,-1.3226414758407916,0.44790621257067514,-1.7928940666116215,0.7747187747479275,-9.941308118508944,9.988241070074126,-0.006194648758264022,0.0011147083460918367,2.6503940140753954,0.9952810114341969,-0.012156907344148236,0.003192301155159182,2.6544012088608198,0.8944590674027552,-8.80601153906516,11.847095284174669,-3.3046951794616604,48.837574469390155,13.154233317142257,15.347157794268162,1,0
G000.37+00.03,,266.58917166666663,-28.59439472222222,0.3758705159499473,0.03998288982206162,0.125,0.047,-0.773232695750319,0.279895813194318,-2.672928402671604,0.40397727762563573,37.07475510689136,9.960875419961939,0.05218488495240023,0.03456322792924396,0.2265332644742843,5.268662798683041,0.005714731377665939,8.703380920938582e-05,1.9509244231458016,4.430668840325915,1.646292107550873,42.86421473175229,-28.137564413527016,147.71071233729478,-19.314895859077765,24.165432860145096,1,0
G000.67-00.03,SgrB2,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,-0.7779157255302496,0.3999482428115448,-4.265625428997309,0.39744586409481725,61.98785148576527,4.944045492485858,0.09092513582822069,0.008769122135955602,0.4339014246335761,0.7471908426835695,-0.0038920745176984203,0.0009138389471661361,0.6183041887703745,0.46204269159043176,40.59764124214611,61.45642769734781,1.48937202088252,79.20860526854173,-48.63622573101634,15.968503380256518,1,0
G001.00-00.23,,267.23035208333334,-28.19673333333333,1.0080088997502157,-0.2369146459410753,0.09,0.057,-3.8703028147760645,0.2803965240048259,-6.225856712709578,0.5659407919039171,1.9415760894885905,4.974522415929946,0.18007907152402639,0.14525998548220892,-2.0529351023956868,8.255450506882534,-0.04369554052040111,0.039750578134018,2.844420423125162,7.530058961832352,2.266321185421866,9.543397209755657,-45.72212074016063,251.28291330704002,13.160935722973452,27.641261232513603,1,0
G001.14-00.12,,267.2022541666667,-28.01981944444445,1.1468590971627388,-0.12451539666452208,0.19399999999999998,0.161,0.8198824111198463,0.3297702621624431,-3.6037887106350244,0.6912910693536487,-16.000614985588566,2.9958922366789658,0.08914882594681242,0.13412166013815177,3.728272480468454,6.699536034054183,-0.007119948966143059,0.019111683131669995,4.412777885870625,4.709431337427787,-18.534245808374717,19.82237451957673,-25.357610462778467,103.93118972717681,-45.89199654949688,85.078475721014,1,0
G002.70+00.04,,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.10099999999999999,0.105,-3.121166089830676,0.8679339286882787,-9.342788960699195,1.2146902686288983,93.04160035955402,5.006000336999253,0.36151490395805636,0.39729623733882896,0.5248921553311838,8.41427743355239,0.005782122257612779,0.00021847409320015373,3.295667420017451,6.89150509778749,92.4896178536815,90.75182952172449,-88.94605928738912,370.21887499829063,-65.11934517892814,105.79247785903202,1,0
G009.21-00.20,,271.72017541666673,-21.07441055555556,9.214501562373684,-0.20178401986576253,0.303,0.096,-0.421296758507244,0.4518230833441554,-1.6981457168678156,0.5053507242944446,42.94089090253935,4.937408067466956,0.5271500344252263,0.36019051546183817,4.9318715877013535,2.220308421364315,-0.008138380363593462,0.009375751852511638,4.984080475511291,1.5333210062908504,19.286655922533072,38.308585510047905,-1.1796012061933965,44.515477437228824,0.6734422871822598,10.954062332534633,0,0
G009.62+00.19,,271.5610833333334,-20.52547222222222,9.621176471063592,0.195793505394722,0.19399999999999998,0.023,-0.5812398861643546,0.130176386000639,-2.492739857622472,0.2910438787131101,1.9743292932873278,2.998018276955763,0.8617305263711087,0.1080501762264698,3.0979034191646497,0.6374018198710216,0.019879916970334137,0.0017926130030090027,3.215522522787215,0.5574520715056043,-40.58530745256962,16.64726417421335,-26.438380931683696,7.758077035131681,-9.29244144684107,5.047021375642119,1,0
G010.32-00.15,,272.25606208333335,-20.085515,10.322582065798148,-0.15976309095023986,0.34299999999999997,0.035,-1.0327895165171166,0.3571322199508184,-2.423766155126369,0.49624477211903184,9.902789768591214,4.957948194205186,0.5214421901400655,0.05597477370202822,5.318479202458059,0.30731924855137643,-0.0043959949046522544,0.0010712407824693807,5.343980069633211,0.29962773851320074,-7.001827545875427,5.663064194818843,-23.42595539379387,6.829334373340158,4.382558468522429,5.557703356950413,0,0
G010.47+00.02,,272.1592875,-19.863961666666672,10.472275231547773,0.02718692730081781,0.11699999999999999,0.008,-3.8637040842381856,0.1915059992567107,-6.40074614679834,0.1405530913081816,69.07034716079187,4.9496828228833385,1.5536811862870528,0.10844889186847995,-0.22425369257860836,0.586722505018472,0.004167141476514118,9.885134098980638e-05,1.579311560438655,0.2442104086600192,22.155623816164105,22.027409410674586,-28.51463612981231,9.332634963333186,19.094592327622042,7.480279677087733,1,0
G010.62-00.33,,272.57493708333334,-19.90129055555556,10.628762401846712,-0.33293427419314275,0.36200000000000004,0.076,-0.36086676928903494,0.388527797684397,-1.8647132716927244,0.38285528267703595,-5.976286945550825,5.024855936076908,0.5094305465744677,0.1344062106043853,5.466807410453857,0.7161977448366684,-0.012231940429428007,0.004700311460979456,5.490492031209623,0.6594691218696791,-25.083376144530494,11.017750974303324,-15.926381285283995,9.132286209035113,0.6031424846069608,5.82336791310198,0,1
G010.62-00.38,,272.61901166666667,-19.930204999999997,10.623443843526003,-0.3831828909830312,0.20199999999999999,0.019,-0.37701973742414885,0.4896471009658152,-0.6031159175919913,0.2523808721474736,-3.0822351478199765,5.0329978704781135,0.9123508059357001,0.08932878281438537,3.317320352393678,0.4762410747979981,-0.030678702416499705,0.0035504355307478227,3.4404939054584642,0.4243277820404253,-63.14178122937311,16.072474680760685,5.668836763137136,8.20710313590256,8.980657367888641,10.625194474260695,1,0
G012.02-00.03,,273.00766666666664,-18.532166666666665,12.0253782206583,-0.031360968405016364,0.106,0.008,-4.1098569797296545,0.10981589766973178,-7.759301333714845,0.2776064876057236,108.00764795564584,5.015889385744308,1.9651098852487028,0.15152495052882395,-1.0436497421899,0.7113187271244069,-0.005540768525575697,0.0008577523541451085,2.225053178122989,0.4799925402145242,16.18552865033335,30.232357948418322,36.799289151921926,13.202065594024981,2.263687839948226,7.457579753943138,1,0
G015.66-00.49,,275.2489458333333,-15.552722222222224,15.665337907741975,-0.4989202772567488,0.22,0.028999999999999998,-1.165312271540319,0.23800892825083084,-5.302352271383825,0.30400255171542795,-3.922784502662023,4.987298107040482,1.2277320076668643,0.17562007812771985,3.8034530436795744,0.6262349802731046,-0.03678950963858285,0.006061192815596959,3.996696252922547,0.5077657524930687,-19.42257125712622,6.703183945851853,-88.0868718007539,9.130164730924609,-23.263772573942997,7.241011807180859,1,0
G016.86-02.15,,277.3517020833333,-15.267816944444444,16.863852816256305,-2.158718684011113,0.426,0.092,0.32317879836151014,0.4915058555072406,-2.4764633341513935,0.5655307537655024,17.037139900431157,3.00191211906838,0.6789434942353016,0.19211042673779005,5.941726856859389,0.6337158908801704,-0.08404776620892108,0.02536156132587632,5.980391484667923,0.5682234854318702,-6.877275473847361,11.613004537876591,-10.210564137772735,8.69911632319729,-8.042374583776677,7.712501413810745,0,0
G017.02-02.40,,277.65122124999994,-15.241217777777774,17.021111438425848,-2.4026814379453247,0.531,0.10800000000000001,0.10962692145944897,0.6175245789998687,-2.803318108660533,0.7526945454399736,22.067874491184188,2.993507358097683,0.5504357465268012,0.13843228461792045,6.383435660517565,0.45217096718287453,-0.07444807998693222,0.02012756297237364,6.407123406258212,0.429849570096706,3.993028153483361,6.728223341063557,-7.896775301084546,7.726998457245387,-4.709000378470735,6.982213008434697,0,0
G019.00-00.02,,276.4365741666667,-12.379412777777777,19.00861898230549,-0.02927879524970525,0.247,0.063,-1.7729554518782775,0.29253634162663333,-3.9931932790629325,0.41812577272395013,56.05235350078716,4.963340665932067,1.317661521975648,0.569202609614263,4.356467517301249,1.652275594853572,0.0011297670827867426,0.0019238449364626221,4.568012723094895,1.092764015880026,20.279498604916924,27.228813894964897,-32.507135907558535,18.65196599729321,2.246522209442836,7.453776436585993,0,1
G019.36-00.03,,276.607415,-12.06479638888889,19.36479458120437,-0.030218659385238107,0.35200000000000004,0.069,-1.1169532400604911,0.37961089735727693,-2.5064668406045785,0.45837040455719247,26.998420892758514,3.0063244092155283,0.9420231675430623,0.2182295443518039,5.501089101364936,0.6209133429609659,0.0024159552030888027,0.0007337542859361496,5.5811637629928,0.5414064110263479,-3.2271700015313924,11.94908469947734,-16.62563753868909,7.999663682001129,5.648985476490983,5.719581276024612,0,0
G019.49+00.11,,276.53820458333337,-11.880931666666665,19.495878629696847,0.11540813737933625,0.326,0.1,-3.6061258764783064,0.42173683982934757,-8.188995870703337,1.0429847388252487,120.90525886636834,5.057820869709354,1.028246865741257,0.6519674466418065,5.277011903348991,1.8415244836549751,0.009981988284013156,0.0027890050109982286,5.385736308522668,1.2437479369027018,119.8780466243465,20.37723899471825,-44.951433952536604,49.35133580218683,-1.2057145966274119,12.935914322093177,0,1
G022.35+00.06,,277.93383291666663,-9.370093333333333,22.356498100596557,0.06636008021647362,0.231,0.10800000000000001,-1.7011576892753948,0.27751736840521196,-3.8987217270336547,0.3113537050942489,79.99514724496606,4.939479276400264,1.6334897155498178,1.8156757539459032,4.209657782867817,4.414675618985522,0.00812446706522026,0.0028245608653892896,4.750198812877009,3.1007690508796526,26.17002945765818,57.50225206195961,-11.78672007500414,47.415733844820885,2.264080501328901,11.778291712799689,0,1
G023.25-00.24,,278.63016541666667,-8.713140555555555,23.25666790847797,-0.2405330629180043,0.16899999999999998,0.051,-1.7236131067829716,0.23039153757474673,-4.088593296731624,0.28028934444698167,62.97104851449615,2.988483720841329,2.330787793777587,1.2099278640149043,2.758074491315358,2.8152656383374812,-0.022502789021780337,0.014579693317262042,3.8137904278705226,1.8514146594706644,-20.09272997224309,41.93792737745548,-35.27413356938966,35.43818213706305,-2.168131019718781,9.715767483249985,1,0
G023.43-00.18,,278.66327916666665,-8.523723611111112,23.4398747758758,-0.18234046517464125,0.17,0.032,-1.9284447566928997,0.14971768984708456,-4.108088541440999,0.13071490016146917,96.97254611852959,2.9811664656430206,2.340368183460357,0.5214266542112014,2.7834213221295774,1.2026441893370075,-0.016426448224242947,0.004903707963778464,3.6681261194319355,0.45095012930223394,-1.9154447266781989,39.531555050761064,-6.318256707806327,15.117384153560163,2.6693409130813404,4.453582224281685,1,0
G023.70-00.19,,278.80150416666663,-8.29431388888889,23.70648140903539,-0.198089487895776,0.161,0.024,-3.1713318942832975,0.1808705346392932,-6.373563642572313,0.20965554944829523,73.08850813745349,5.044377787228791,2.4939132638138575,0.42220502813007077,2.5018387222523786,0.9615103139650757,-0.01931432076793514,0.004215026693600829,3.555230079909398,0.2994731294198398,47.83777956359942,14.85209997955465,-54.54185038852334,9.730807317749646,4.233743625000688,5.760750419669421,1,0
G024.78+00.08,,279.0523391666667,-7.203011111111112,24.789784460044235,0.08328615497898524,0.15,0.016,-2.622736444495434,0.16029154920613878,-5.081857666167833,0.19894935692526752,110.94863919928491,3.0291623281596003,2.800854044353801,0.31282235489096993,2.116909930992589,0.6773277639527924,0.011631014816682427,0.0006754556745332393,3.5264198793864616,0.14333227906885693,5.889314541453084,24.11725700544696,-4.507514658066455,4.576639078888262,7.841045645760236,5.453194445631246,1,0
