glong,glat,plx_mean,plx_med,plx_sd,plx_hdi_minus1sigma,plx_hdi_plus1sigma,Upec_mean,Upec_med,Upec_sd,Upec_hdi_minus1sigma,Upec_hdi_plus1sigma,Vpec_mean,Vpec_med,Vpec_sd,Vpec_hdi_minus1sigma,Vpec_hdi_plus1sigma
98.03586484832445,1.4459922020451168,0.21186472,0.19268516,0.076827124,0.12987553,0.23855953,1.4946582,1.8579204,12.017702,-9.541789,14.379506,-14.722204,-15.044533,15.733141,-31.188602,0.9375142
108.5946502956341,0.49176673738739946,0.40619472,0.4058931,0.03155985,0.3737893,0.43721458,38.36273,38.35949,6.3147545,32.146034,44.704525,-3.3591793,-3.4615939,7.3010826,-10.852236,3.7248168
110.19609843675002,2.4761750374699742,0.26478568,0.26020545,0.061294988,0.19414793,0.31634533,3.9104743,4.2185726,9.792732,-5.4687133,13.908729,-19.32779,-20.141434,11.356797,-31.94671,-9.886575
111.23496496800085,-1.2381963239292646,0.3159553,0.31216884,0.060166027,0.24850695,0.36835453,22.868168,22.951778,8.937787,13.955243,31.68855,1.5270128,1.1886756,10.958853,-10.212726,11.540024
111.5421294899417,0.7769384028762917,0.37674028,0.37673214,0.016943067,0.36017695,0.3942349,15.26085,15.29014,6.4525833,8.723623,21.584978,-19.15984,-19.192383,6.6865606,-25.624743,-12.260896
136.84514450512646,1.1674146306121307,0.43329516,0.4286042,0.100553274,0.32552573,0.52716297,3.913928,4.348789,8.904183,-3.7858713,13.687071,-14.762333,-14.79796,6.914666,-21.57215,-7.876619
182.67801276550367,-3.265397302996912,0.14319892,0.14229855,0.04022137,0.100628965,0.18147807,9.182619,9.177946,9.022721,0.020105716,18.062754,-2.3250296,-1.932792,10.456653,-12.27977,8.227805
188.79369548865986,1.0306622558850218,0.5530314,0.5511494,0.08683849,0.46348828,0.6375282,11.673299,11.668764,6.543716,5.032353,18.140436,-14.2252035,-14.003418,7.106452,-20.89298,-6.8303337
0.3152592880390072,-0.20083724333908243,0.34196484,0.34187448,0.041196965,0.29950872,0.38206944,15.511543,15.504884,5.52921,10.148351,21.185123,-3.1352885,-3.1571658,7.9973626,-10.951371,4.9014425
5.884193454612775,-0.3923617226509042,0.33659288,0.33663622,0.019879978,0.3176248,0.35742703,-1.548987,-1.5615125,6.5595355,-8.034168,5.084,-10.966281,-10.933716,6.5007243,-17.393213,-4.4273586
6.795315908924413,-0.2572553029452956,0.28634557,0.28625962,0.020585243,0.26645175,0.30778068,2.7577884,2.7399178,6.6695642,-3.7185595,9.647934,-1.8983505,-1.9156196,6.78314,-8.675394,4.8792844
7.4706955199311,0.05836478557150925,0.050967928,0.050919674,0.0020634858,0.048826024,0.052932024,4.821635,4.807252,8.97112,-4.140697,13.755846,-3.8514943,-3.863123,14.601127,-18.92563,10.258926
8.344133233567698,-1.001949271180782,0.6397187,0.639656,0.039895143,0.5995837,0.67927843,-1.2375584,-1.2407317,6.4649105,-7.6016045,5.338811,-7.280351,-7.2620163,6.9280148,-14.058288,-0.20625184
11.109056798808037,-0.1141616285891001,0.36160216,0.3615874,0.026707953,0.33430642,0.3876223,7.499582,7.5039215,6.64714,0.8674844,14.1105385,-5.657931,-5.653133,6.765538,-12.495815,1.0279169
11.497391078678321,-1.4853403015859088,0.79863304,0.79869473,0.033040486,0.76461905,0.8304101,-0.27513292,-0.25069773,5.5273166,-5.829004,5.2189674,8.781134,8.772608,5.9020243,2.929725,14.7337055
11.917706166890026,-0.6131241747829906,0.30578706,0.30367726,0.04200397,0.2600583,0.34453925,3.7694137,4.165236,8.758221,-3.7668197,13.345597,4.3130927,4.36658,9.45749,-4.9928265,13.7821455
12.68060538759639,-0.1822956124191795,0.4104313,0.4104016,0.028301548,0.38230547,0.43871465,27.46507,27.4467,9.043367,18.569208,36.692455,-5.9189825,-5.8883553,9.449419,-15.492347,3.3991344
12.813647319205213,-0.197000256792044,0.34089503,0.34036267,0.034881607,0.30533674,0.37554038,2.563979,2.6899922,7.6180863,-4.8816733,10.289415,7.896643,7.922059,8.715097,-0.74448293,16.651743
12.888828423096749,0.4891010634666449,0.4008428,0.40062046,0.0430477,0.3580874,0.44410455,11.296065,11.34256,7.7782,3.82726,19.355598,-3.2121134,-3.1588178,7.141056,-10.365053,3.916341
12.900918412281614,-0.2414988120833986,0.40766641,0.40768814,0.024697356,0.383211,0.43243286,13.811816,13.814863,6.5563645,7.1075845,20.24524,-4.7865868,-4.777197,6.4302,-10.998889,1.86947
12.908573475865381,-0.260515343411919,0.3903773,0.3904721,0.031680256,0.35928127,0.42262065,13.659883,13.655382,6.6751785,7.09673,20.426094,-5.0217996,-4.9885187,6.5658317,-11.549764,1.5475383
13.712772905190688,-0.08357249590896319,0.26418236,0.26415914,0.013643188,0.25020304,0.27763894,4.3317633,4.3708534,7.0409927,-2.6774237,11.415845,-4.510786,-4.500205,6.831204,-11.393028,2.2615936
13.873851346076345,0.28123456627745236,0.2541699,0.25403488,0.022597246,0.23130102,0.2765493,5.2744293,5.3768435,10.7409935,-5.2238393,16.214134,-5.018571,-5.0250845,13.149218,-18.109716,8.2061205
14.331809220605823,-0.6449915014717299,0.8779101,0.87799954,0.1006318,0.77518207,0.97681123,9.757513,9.759537,6.6387105,2.9290745,16.196253,2.0378535,2.1197743,7.726243,-5.6721807,9.684539
14.636659788569817,-0.5759736776586776,0.5454814,0.5454731,0.021786904,0.5239319,0.56752867,2.6909678,2.69976,6.7878227,-3.8422194,9.736523,-2.9188607,-2.875757,9.029435,-11.609778,6.4390774
