gname,alias,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,Upec,Vpec,Wpec,is_tooclose,is_outlier
G075.78+00.34,ON2N,75.78202617063077,0.34272075498874843,0.261,0.03,-2.79,0.55,-4.66,0.55,1.0,5.0,-3.873067643299855,-7.0053877454132305,1.4984349658333684,0,0
G076.38-00.61,G076.38-0.62,76.38087891296179,-0.6177468789150884,0.77,0.053,-3.73,3.0,-3.84,3.0,-2.0,5.0,2.1229657747423905,-13.364539354121803,13.126606311824393,0,0
G078.88+00.70,AFGL2591,78.88664662758207,0.7089349067223036,0.3,0.024,-1.2,0.72,-4.8,0.66,-6.0,7.0,-13.026127845634978,-13.068659136408428,-21.019708247883592,0,0
G079.73+00.99,IRAS20290+4052,79.73570334687959,0.9904481658389029,0.737,0.062,-2.84,0.79,-4.14,1.06,-3.0,5.0,1.3177703009562038,-12.256294101689605,6.774991312463095,0,0
G079.87+01.17,G079.88+1.18,79.8768617101513,1.1769480518565139,0.62,0.027,-3.23,1.3,-5.19,1.3,-5.0,10.0,8.492625717349032,-13.89703423838597,4.205112880773759,0,0
G080.79-01.92,NMLCyg,80.798358751203,-1.920998401854138,0.62,0.047,-1.55,0.57,-4.59,0.57,-3.0,3.0,-2.902470196239095,-11.483475331057178,-3.8213624485309836,0,0
G080.86+00.38,DR20,80.86148060638196,0.38329864890127646,0.687,0.038,-3.29,0.73,-4.83,0.77,-3.0,5.0,6.857489252317733,-11.21963678073078,5.906999479577573,0,0
G081.75+00.59,DR21A,81.75231069833808,0.5907472014271133,0.666,0.035,-2.84,0.45,-3.8,0.47,-3.0,3.0,-0.5838979508722365,-10.687465111417481,7.444753228527578,0,0
G081.87+00.78,W75N,81.87126092276698,0.7806425959270948,0.772,0.042,-1.97,0.5,-4.16,0.51,7.0,3.0,-1.0526094330976254,-0.7117620333991965,2.059595434971519,0,0
G090.21+02.32,G090.21+2.32,90.21041884652509,2.3243263294043786,1.483,0.038,-0.67,1.56,-0.9,1.67,-3.0,5.0,-4.7717569488405776,-8.069709688570782,7.018472638120887,0,0
G090.92+01.48,G090.92+1.48,90.92149156847277,1.4866391508876282,0.171,0.031,-2.96,0.2,-2.61,0.28,-70.0,5.0,4.4690049325700905,-34.919798509745505,16.248070474849165,0,1
G092.67+03.07,G092.69+3.08,92.67110261250686,3.0711369069780137,0.613,0.02,-0.69,1.42,-2.25,1.42,-5.0,10.0,-16.9510666511768,-7.531876529901382,-0.8765429565448652,0,0
G094.60-01.79,AFGL2789,94.60251907932413,-1.7961221860465217,0.221,0.013,-3.49,0.23,-2.65,0.23,-43.0,3.0,3.4450183057526,-9.341655776452427,16.490432052217955,0,0
G095.29-00.93,G095.29-0.93,95.29640928036791,-0.9369260916592836,0.206,0.015,-2.74,0.3,-2.85,0.37,-38.0,5.0,-7.364336232212119,-5.660527772255676,1.385594456373644,0,0
G097.53+03.18,G097.53+3.18,97.53059757689884,3.1837137655061762,0.133,0.017,-2.94,0.29,-2.48,0.29,-73.0,5.0,9.979020035514479,3.4901079849135215,9.521596951873217,0,0
G100.37-03.57,G100.37-3.57,100.37795140467924,-3.5784380506319797,0.289,0.016,-3.66,0.6,-3.02,0.6,-37.0,10.0,12.851421374776798,-3.2050199699860116,3.6568307394224053,0,0
G105.41+09.87,G105.42+9.88,105.4153407995665,9.87819014043937,1.129,0.063,-0.21,1.2,-5.49,1.2,-10.0,5.0,7.806836421779617,-2.682412340504783,-12.27075626339861,0,0
G107.29+05.63,IRAS22198+6336,107.29814849705511,5.639738909923124,1.288,0.107,-2.47,1.4,0.26,1.4,-11.0,5.0,4.488773530067189,-8.884280534877092,11.424202601892372,0,0
G108.18+05.51,G108.18+5.51,108.18440412713686,5.5187141741030175,1.092,0.018,0.26,1.15,-2.26,1.2,-11.0,3.0,-2.0616494103073113,-8.139533716687907,-3.0644220811017195,0,0
G108.20+00.58,G108.20+0.58,108.20757925425059,0.5885686601049679,0.227,0.037,-2.25,0.5,-1.0,0.5,-49.0,10.0,-9.649249361073934,-15.074061570873852,9.858202188314424,0,0
G108.42+00.89,IRAS22480+6002,108.4254619510017,0.8938797786704659,0.4,0.05,-2.58,0.6,-1.91,0.5,-51.0,5.0,12.76914729274961,-25.98081364219516,0.7919056377947626,0,1
