gname,ra,dec,glong,glat,plx,e_plx,vlsr,e_vlsr,Rgal,Rgal_kde,Rgal_err_neg,Rgal_err_pos,Rtan,Rtan_kde,Rtan_err_neg,Rtan_err_pos,near,near_kde,near_err_neg,near_err_pos,far,far_kde,far_err_neg,far_err_pos,distance,distance_kde,distance_err_neg,distance_err_pos,tangent,tangent_kde,tangent_err_neg,tangent_err_pos,vlsr_tangent,vlsr_tangent_kde,vlsr_tangent_err_neg,vlsr_tangent_err_pos
G359.13+00.03,265.85671208333326,-29.654875277777784,359.1373497015032,0.03164965568619413,0.165,0.031,-1.0,10.0,0.13609071902813555,<pyqt_fit.kde.KDE1D object at 0x7f3e061f67f0>,0.0,3.7369128449949764,0.13290903949682914,<pyqt_fit.kde.KDE1D object at 0x7f3e01da51c0>,0.009830766293115883,0.026022616658247927,7.863867867867862,<pyqt_fit.kde.KDE1D object at 0x7f3dfef14a30>,1.418106106106105,0.44413213213213076,9.24849649649649,<pyqt_fit.kde.KDE1D object at 0x7f3dfef30670>,1.0244964964964964,3.683827827827823,8.195431431431425,<pyqt_fit.kde.KDE1D object at 0x7f3e0be20e50>,1.5047807807807807,1.3572532532532513,8.236412412412404,<pyqt_fit.kde.KDE1D object at 0x7f3e0be59d90>,0.050378378378377775,0.06017417417417548,-25.691592262828646,<scipy.stats.kde.gaussian_kde object at 0x7f3e0bdf4670>,6.61217774239385,4.255361913421783
G359.93-00.14,266.5079929166666,-29.066298333333336,359.9358046522043,-0.14465979579567287,0.181,0.029,-10.0,10.0,0.010012742276020973,<pyqt_fit.kde.KDE1D object at 0x7f3e01db8f40>,0.0,2.0121239445989603,0.009158030967907604,<pyqt_fit.kde.KDE1D object at 0x7f3dfef01190>,0.0,0.07325459158796882,8.150615615615608,<pyqt_fit.kde.KDE1D object at 0x7f3e01d8aac0>,8.140615615615609,0.20038438438438355,8.627269269269263,<pyqt_fit.kde.KDE1D object at 0x7f3dfef308b0>,0.4812692692692693,2.7563603603603575,8.235485485485478,<pyqt_fit.kde.KDE1D object at 0x7f3e0be2b040>,0.6304204204204202,0.6004004004003995,8.221043043043036,<pyqt_fit.kde.KDE1D object at 0x7f3e0be59f10>,0.08482482482482467,0.08482482482482467,-7.955174154247054,<scipy.stats.kde.gaussian_kde object at 0x7f3e0bdf49a0>,3.845426626176497,2.813726799641337
G000.37+00.03,266.58917166666663,-28.59439472222222,0.37587051594994725,0.03998288982206162,0.125,0.047,37.0,10.0,0.053441231823864795,<pyqt_fit.kde.KDE1D object at 0x7f3e01dca1c0>,0.0,0.6224659237399103,0.06494041447773548,<pyqt_fit.kde.KDE1D object at 0x7f3dfef013d0>,0.011411468386761985,0.044954269402395705,7.81205705705705,<pyqt_fit.kde.KDE1D object at 0x7f3e01d9c6a0>,6.029837837837833,0.35094294294294315,8.247273273273267,<pyqt_fit.kde.KDE1D object at 0x7f3dfef30af0>,0.1642732732732739,0.8512342342342318,8.116950950950944,<pyqt_fit.kde.KDE1D object at 0x7f3e0be2b1c0>,0.29678778778778714,0.2967877877877889,8.131711711711704,<pyqt_fit.kde.KDE1D object at 0x7f3e0be612b0>,0.06369069069068978,0.04814414414414436,13.013319476859223,<scipy.stats.kde.gaussian_kde object at 0x7f3e0bdf4be0>,2.2604488588340956,5.847682917418645
G000.67-00.03,266.8333333333333,-28.37777777777778,0.6723936512495867,-0.031085589754245226,0.129,0.012,62.0,5.0,0.10387518733581073,<pyqt_fit.kde.KDE1D object at 0x7f3e01dca3a0>,0.007162959005834857,0.07043576355737609,0.10586288123798665,<pyqt_fit.kde.KDE1D object at 0x7f3dfef01550>,0.009913707220567239,0.031844029253943223,7.98394694694694,<pyqt_fit.kde.KDE1D object at 0x7f3e01d9caf0>,0.19154154154154135,0.07305305305305332,8.181474474474468,<pyqt_fit.kde.KDE1D object at 0x7f3dfef30d30>,0.059474474474475514,0.08576576576576578,8.109747747747742,<pyqt_fit.kde.KDE1D object at 0x7f3e0be2b430>,0.04977477477477521,0.05819819819819827,8.10916716716716,<pyqt_fit.kde.KDE1D object at 0x7f3e0be61b20>,0.0475755755755749,0.05855455455455605,19.049804642420924,<scipy.stats.kde.gaussian_kde object at 0x7f3e0bdf4e20>,2.8090972517157624,7.145470679121637
G001.00-00.23,267.23035208333334,-28.196733333333334,1.0080088997502155,-0.23691464594107528,0.09,0.057,2.0,5.0,0.14355362618965137,<pyqt_fit.kde.KDE1D object at 0x7f3e01dca520>,0.0,2.344555181469362,0.15397426433659167,<pyqt_fit.kde.KDE1D object at 0x7f3dfef016d0>,0.011050943610721425,0.020996792860370678,7.2784914914914856,<pyqt_fit.kde.KDE1D object at 0x7f3e01d9cd30>,5.821261261261256,0.8085085085085071,8.804774774774767,<pyqt_fit.kde.KDE1D object at 0x7f3dfef30eb0>,0.7467747747747744,2.6356756756756727,8.235485485485478,<pyqt_fit.kde.KDE1D object at 0x7f3e0be2bca0>,2.3415615615615595,2.64176176176176,8.12056756756756,<pyqt_fit.kde.KDE1D object at 0x7f3e0be61eb0>,0.06445045045045106,0.04340540540540516,28.02058089989205,<scipy.stats.kde.gaussian_kde object at 0x7f3e0be6b130>,5.729166092035825,4.764253908114004
G001.14-00.12,267.2022541666667,-28.019819444444447,1.1468590971627388,-0.12451539666452208,0.194,0.161,-16.0,3.0,0.17237277665833028,<pyqt_fit.kde.KDE1D object at 0x7f3e01dca6a0>,0.0,5.751476713650058,0.1736423551562857,<pyqt_fit.kde.KDE1D object at 0x7f3dfef144f0>,0.01004106660889656,0.019603987188798022,1.7876076076076064,<pyqt_fit.kde.KDE1D object at 0x7f3e01d9cf10>,1.4916446446446436,5.549227227227223,10.056397397397388,<pyqt_fit.kde.KDE1D object at 0x7f3e0be31070>,1.7833973973973958,4.523739739739737,8.115405405405399,<pyqt_fit.kde.KDE1D object at 0x7f3e0be20fd0>,1.6210810810810807,1.8012012012011986,8.112010010010003,<pyqt_fit.kde.KDE1D object at 0x7f3e0be6b0d0>,0.05868268268268295,0.0472212212212213,30.804211581361383,<scipy.stats.kde.gaussian_kde object at 0x7f3e0be6be50>,6.228414592790035,4.679215024025002
G002.70+00.04,267.9415691666667,-26.599186111111113,2.703329806207946,0.04008424737831133,0.101,0.105,93.0,5.0,0.4447679736684355,<pyqt_fit.kde.KDE1D object at 0x7f3e01dca820>,0.04782295417342419,0.11413745062723907,0.39308232451082287,<pyqt_fit.kde.KDE1D object at 0x7f3dfef14a00>,0.006427654945205641,0.009249552238222769,7.776562562562556,<pyqt_fit.kde.KDE1D object at 0x7f3e01da5100>,0.31265365365365305,0.07743743743743714,8.405655655655648,<pyqt_fit.kde.KDE1D object at 0x7f3e0be414c0>,0.13949549549549545,0.16053053053053112,8.079322322322316,<pyqt_fit.kde.KDE1D object at 0x7f3e0bdb3220>,0.04792292292292366,0.05559059059059024,8.07792592592592,<pyqt_fit.kde.KDE1D object at 0x7f3e0be6b310>,0.04130730730730825,0.054929929929929955,49.990615201201095,<scipy.stats.kde.gaussian_kde object at 0x7f3e0bdfb1c0>,4.782213283472835,6.41170818006357
G009.21-00.20,271.72017541666673,-21.074410555555556,9.214501562373684,-0.20178401986576255,0.303,0.096,43.0,5.0,3.046973393032548,<pyqt_fit.kde.KDE1D object at 0x7f3e01dca9a0>,0.9405210288063426,0.818176829937225,1.314101691599368,<pyqt_fit.kde.KDE1D object at 0x7f3dfef14d90>,0.005477168626375262,0.006156507370731923,4.688218218218214,<pyqt_fit.kde.KDE1D object at 0x7f3e01da5340>,1.2225045045045033,1.2582502502502493,10.976963963963954,<pyqt_fit.kde.KDE1D object at 0x7f3e0be419d0>,1.1971211211211195,0.8008908908908907,10.817229229229222,<pyqt_fit.kde.KDE1D object at 0x7f3e0bdb3460>,7.495192192192187,1.3414214214214208,7.965531531531524,<pyqt_fit.kde.KDE1D object at 0x7f3e0be6b550>,0.04997597597597547,0.04297297297297309,95.23881357944572,<scipy.stats.kde.gaussian_kde object at 0x7f3e0be6b040>,6.035817194536605,3.8666953902500154
G009.62+00.19,271.5610833333334,-20.52547222222222,9.621176471063592,0.19579350539472196,0.194,0.023,2.0,3.0,6.0315753335398155,<pyqt_fit.kde.KDE1D object at 0x7f3e01dcab20>,1.6789351750250008,2.8286407840095125,1.3727984358673602,<pyqt_fit.kde.KDE1D object at 0x7f3dfef14fd0>,0.007126853071897532,0.0051021789037448695,1.418198198198197,<pyqt_fit.kde.KDE1D object at 0x7f3e01da54c0>,1.408198198198197,0.7328378378378371,13.967047047047036,<pyqt_fit.kde.KDE1D object at 0x7f3e0be41d60>,1.7441281281281285,2.875955955955952,0.01,<pyqt_fit.kde.KDE1D object at 0x7f3e0bdb36a0>,0.0,17.213861861861847,7.958151151151144,<pyqt_fit.kde.KDE1D object at 0x7f3e0be6b790>,0.057037037037036775,0.03915515515515455,94.73979619356446,<scipy.stats.kde.gaussian_kde object at 0x7f3e0be6b850>,3.842250980556713,5.940959499348182
G010.32-00.15,272.2560620833333,-20.085514999999997,10.322582065798148,-0.15976309095023986,0.343,0.035,10.0,5.0,5.65268152491536,<pyqt_fit.kde.KDE1D object at 0x7f3e01d9c220>,1.6469552361095694,1.8362604356623926,1.4700927094330285,<pyqt_fit.kde.KDE1D object at 0x7f3dfef20160>,0.0055812756234796534,0.00689231352161257,1.6055775775775762,<pyqt_fit.kde.KDE1D object at 0x7f3e01da5640>,1.2224704704704694,1.0642042042042035,13.537738738738726,<pyqt_fit.kde.KDE1D object at 0x7f3e0be41fa0>,1.7299319319319295,1.8854314314314298,0.7488618618618612,<pyqt_fit.kde.KDE1D object at 0x7f3e0bdb38e0>,0.7368618618618612,14.943558558558546,7.94226726726726,<pyqt_fit.kde.KDE1D object at 0x7f3e0be6b910>,0.05538738738738758,0.033741741741741826,98.89159258866862,<scipy.stats.kde.gaussian_kde object at 0x7f3e0be6bc10>,5.657908389184726,4.393199455131679
