gname,peak_pdf,peak_hpd,error
G133.94+01.06,1.9516371532898802,1.9484444444444444,0.0031927088454357655
G134.62-02.19,2.41315766419063,2.4104724724724718,0.0026851917181582863
G135.27+02.79,5.93694696937276,5.921467467467468,0.01547950190529157
G160.14+03.15,4.093416245605325,4.104143143143143,-0.010726897537818303
G168.06+00.82,5.207232199823396,5.211580580580581,-0.004348380757184245
G170.65-00.24,1.8103908914069489,1.7905555555555557,0.019835335851393188
G173.48+02.44,1.6816354613680307,1.6809299299299298,0.0007055314381008149
G174.20-00.07,2.133529850751092,2.1313723723723723,0.0021574783787197127
G176.51+00.20,0.9626037894596653,0.9616986986986986,0.0009050907609666758
G183.72-03.66,1.5886695154231265,1.5893133133133133,-0.0006437978901867591
G188.94+00.88,2.10017316729434,2.1046066066066067,-0.004433439312266696
G192.16-03.81,1.5041815173950444,1.51390990990991,-0.00972839251486568
G192.60-00.04,1.6501115395363701,1.6558378378378378,-0.005726298301467647
G196.45-01.67,4.115295745882541,4.169585585585587,-0.05428983970304557
G209.00-19.38,0.41300158952259225,0.4130130130130129,-1.1423490420658933e-05
G211.59+01.05,4.1695521629792385,4.165063063063063,0.004489099916175299
G213.70-12.59,0.8698936524912994,0.8688018018018018,0.0010918506894975755
G217.79+01.05,6.021093105291503,6.016894894894894,0.00419821039660917
G229.57+00.15,4.559689263034264,4.561546546546547,-0.001857283512282315
G232.62+00.99,1.6664367813948822,1.666933933933934,-0.0004971525390518039
G236.81+01.98,3.029423754597518,3.021063063063063,0.008360691534454734
G239.35-05.06,1.1593750985690685,1.1553703703703704,0.0040047281986981265
G240.31+00.07,5.288954902499555,5.312226226226227,-0.0232713237266724
G305.20+00.01,3.7228132326901413,3.6946566566566568,0.028156576033484537
G339.88-01.25,1.9789049397212515,1.9508588588588593,0.02804608086239213
G348.70-01.04,3.3277960988653996,3.333300300300301,-0.005504201434901379
G351.44+00.65,1.3081199018017837,1.3066966966966966,0.0014232051050870886
G359.61-00.24,2.6501479029166406,2.651851851851852,-0.001703948935211308
